OBJECTID,ACTIVITY,VERSION,YEAR,ALL_OPER_UNITS,OPER_UNIT_GROUP,OPERATING_UNIT,OPERATING_UNIT_DESCRIPTION,ALL_DEPTS,DEPARTMENT_OP_UNIT,DEPARTMENT_DIVISION,DEPTID,DEPARTMENT_DESCRIPTION,ALL_FUNDS,FUND_GROUP,FUND_SUMMARY,FUND,FUND_DESCRIPTION,ALL_ACCOUNTS,NET,EXPREV,OJBECT_CLASS,ACCOUNT_CATEGORY,ACCOUNT,ACCOUNT_DESCRIPTION,BUDGET_AMOUNT
11001,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Office of the Chief Division,D_11001011,Office of the Chief-Admin,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employer Paid Taxes,E_415020,State Unemployment Insurance,4410
11002,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Office of the Chief Division,D_11001011,Office of the Chief-Admin,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employer Paid Taxes,E_415030,Worker's Compensation,89779
11003,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Office of the Chief Division,D_11001011,Office of the Chief-Admin,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Labor Adjustments,E_810060,Department Labor Reduction,-70000
11004,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Office of the Chief Division,D_11001011,Office of the Chief-Admin,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Prof and Tech Svcs,E_432010,Contracted Instructional Svcs,5000
11005,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Office of the Chief Division,D_11001011,Office of the Chief-Admin,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Prof and Tech Svcs,E_433060,Other Professional Services,1500
11006,NetZeroAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Office of the Chief Division,D_11001011,Office of the Chief-Admin,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Prof and Tech Svcs,E_433060,Other Professional Services,1602
11007,NetZeroAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Office of the Chief Division,D_11001011,Office of the Chief-Admin,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Other Objects,E_481010,Group Benefit Clearing,-1602
11008,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Office of the Chief Division,D_11001011,Office of the Chief-Admin,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Prof and Tech Svcs,E_434020,Data Processing Services,36135
11009,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Office of the Chief Division,D_11001011,Office of the Chief-Admin,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Property Services,E_443010,Repair And Maintenance Service,2000
11010,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Office of the Chief Division,D_11001011,Office of the Chief-Admin,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Other Purchased Services,E_458020,Meals,7020
